base_slice,threads,task_clock_cpu_utilized,task_clock_time_ms,context_switches,cpu_migrations,page_faults,cycles,stalled_cycles_frontend,stalled_cycles_backend,stalled_cycles_per_insn,instructions,branches,branch_misses,seconds_time_elapsed,seconds_user,seconds_sys,records
40ms,728,103.7338,12521512.646000002,301308.6,27412.9,25933.3,38098073298055.2,239380049838.5,27139091329304.5,2.5599999999999996,10609870432573.3,529769244133.1,601635065.2,120.7080858782,12519.498983599999,10.2596332,1015880.6
40ms,832,103.75999999999999,12538910.167,302141.4,25054.9,26891.4,38150144914741.3,239761609859.3,27179739636093.3,2.5589999999999997,10620867426210.4,530232151450.5,602511172.0,120.84522524000002,12536.761984699999,8.861278,1013688.4
40ms,936,103.74830000000001,12569985.428,337804.0,31626.1,29793.9,38235158956726.9,264734525989.5,27487704208103.5,2.636,10429563643640.1,527835012881.8,621334673.9,121.15878820719999,12560.594185900001,14.024728099999999,997080.1
40ms,1040,103.72230000000002,12597857.874,484565.3,45113.1,28573.4,38305998203614.9,298059532094.8,27731575481566.2,2.703,10267408300204.1,523649319294.1,655158199.5,121.45761183779999,12573.9693691,31.9529659,979108.3
40ms,1144,103.67,12639643.322,1149336.3,91139.1,32770.3,38412996171984.4,382212438024.0,28158119479251.8,2.832,9951884413769.6,515779316213.7,766575228.1,121.92175424230001,12561.9204469,84.9490059,943687.3
40ms,1248,103.74170000000001,12636013.649999997,1364561.9,112403.0,32548.8,38402334978844.0,375559421497.3,27984135896511.2,2.773,10101852839915.8,522916558057.3,788011796.0,121.8026803559,12547.972738700002,92.1223032,957888.0
40ms,1352,103.7124,12707195.528,2659625.9,173844.4,29931.7,38595256785388.6,488580381587.5,28392508269011.8,2.882,9863057124629.6,529573664241.6,963507464.0,122.5234001279,12512.0154922,202.51621350000002,929082.1
40ms,1456,103.691,12699708.932999998,2745483.1,191790.9,27695.6,38576757853671.8,480595849294.3,28202349809309.5,2.819,10015113699206.4,540143157659.0,962939879.0,122.47654030049998,12486.879711,221.6844357,940677.0
40ms,1560,103.71660000000001,12755045.256,3424418.2,255287.4,29476.7,38733325731721.1,543209326546.2,28345163251407.2,2.8329999999999993,10013891455651.9,558051628103.8,1059160436.0,122.9799941216,12454.965740199998,308.1342341,933067.0
40ms,1664,103.7565,12746606.962999998,3808952.4,286513.1,30899.2,38700486994412.3,580299037809.2,28290607641612.5,2.822,10028494574538.1,575202903221.4,1106627666.2,122.85142680870001,12347.2714769,403.43201889999995,924655.2
